 ,2016
"063 Grange E, Dublin City",35847
"064 Harmonstown A, Dublin City",33871
"065 Harmonstown B, Dublin City",36958
"066 Inns Quay A, Dublin City",29893
"067 Inns Quay B, Dublin City",26813
"068 Inns Quay C, Dublin City",27238
"069 Kilmore A, Dublin City",35702
"070 Kilmore B, Dublin City",30336
"071 Kilmore C, Dublin City",24894
"072 Kilmore D, Dublin City",35249
"073 Mountjoy A, Dublin City",28938
"074 Mountjoy B, Dublin City",23157
"075 North City, Dublin City",31632
"076 North Dock A, Dublin City",35027
"077 North Dock B, Dublin City",35784
"078 North Dock C, Dublin City",37177
"079 Phoenix Park, Dublin City",42622
"080 Priorswood A, Dublin City",29056
"081 Priorswood B, Dublin City",23502
"082 Priorswood C, Dublin City",27886
"083 Priorswood D, Dublin City",28253
"084 Priorswood E, Dublin City",31285
"085 Raheny-Foxfield, Dublin City",38927
"086 Raheny-Greendale, Dublin City",33070
"087 Raheny-St. Assam, Dublin City",47891
"088 Rotunda A, Dublin City",24254
"089 Rotunda B, Dublin City",32284
"090 Whitehall A, Dublin City",45526
"091 Whitehall B, Dublin City",36891
"092 Whitehall C, Dublin City",36634
"093 Whitehall D, Dublin City",39898
"094 Chapelizod, Dublin City",40050
"095 Cherry Orchard A, Dublin City",30576
"096 Carna, Dublin City",28060
"097 Cherry Orchard C, Dublin City",25782
"098 Crumlin A, Dublin City",31015
"099 Crumlin B, Dublin City",33166
"100 Crumlin C, Dublin City",33940
"101 Crumlin D, Dublin City",33426
"102 Crumlin E, Dublin City",34145
"103 Crumlin F, Dublin City",35402
"104 Decies, Dublin City",29890
"105 Drumfinn, Dublin City",28792
"106 Inchicore A, Dublin City",34482
"107 Inchicore B, Dublin City",27340
"108 Kilmainham A, Dublin City",29692
"109 Kilmainham B, Dublin City",39180
"110 Kilmainham C, Dublin City",34518
"111 Kimmage A, Dublin City",28009
"112 Kimmage B, Dublin City",32661
"113 Kimmage C, Dublin City",39562
"114 Kimmage D, Dublin City",35058
"115 Kimmage E, Dublin City",34696
"116 Kylemore, Dublin City",27312
"117 Mansion House A, Dublin City",33770
"118 Mansion House B, Dublin City",48702
"119 Merchants Quay A, Dublin City",28456
"120 Merchants Quay B, Dublin City",32704
"121 Merchants Quay C, Dublin City",31037
"122 Merchants Quay D, Dublin City",43059
"123 Merchants Quay E, Dublin City",35214
"124 Merchants Quay F, Dublin City",29811
"125 Pembroke East A, Dublin City",35782
"126 Pembroke East B, Dublin City",51189
"127 Pembroke East C, Dublin City",52980
"128 Pembroke East D, Dublin City",45892
"129 Pembroke East E, Dublin City",53371
"130 Pembroke West A, Dublin City",49700
"131 Pembroke West B, Dublin City",62886
"132 Pembroke West C, Dublin City",44793
"133 Rathfarnham, Dublin City",48591
"134 Rathmines East A, Dublin City",46612
"135 Rathmines East B, Dublin City",51383
"136 Rathmines East C, Dublin City",48000
"137 Rathmines East D, Dublin City",42254
"138 Rathmines West A, Dublin City",37449
"139 Rathmines West B, Dublin City",37675
"140 Rathmines West C, Dublin City",41697
"141 Rathmines West D, Dublin City",39996
"142 Rathmines West E, Dublin City",42548
"143 Rathmines West F, Dublin City",37010
"144 Royal Exchange A, Dublin City",37587
"145 Royal Exchange B, Dublin City",25218
"146 St. Kevin's, Dublin City",35712
"147 South Dock, Dublin City",42402
"148 Terenure A, Dublin City",40246
"149 Terenure B, Dublin City",45648
"150 Terenure C, Dublin City",59548
"151 Terenure D, Dublin City",55710
"152 Ushers A, Dublin City",39999
"153 Ushers B, Dublin City",31510
"154 Ushers C, Dublin City",29752
"155 Ushers D, Dublin City",28107
"156 Ushers E, Dublin City",33038
"157 Ushers F, Dublin City",46549
"158 Walkinstown A, Dublin City",35674
"159 Walkinstown B, Dublin City",35780
"160 Walkinstown C, Dublin City",34443
"161 Wood Quay A, Dublin City",29637
"162 Wood Quay B, Dublin City",34568
"001 Ballinascorney, South Dublin",35008
"002 Ballyboden, South Dublin",45057
"003 Bohernabreena, South Dublin",36040
"004 Clondalkin-Ballymount, South Dublin",35232
"005 Clondalkin-Cappaghmore, South Dublin",25873
"006 Clondalkin-Dunawley, South Dublin",28902
"007 Clondalkin-Monastery, South Dublin",32004
"008 Clondalkin-Moorfield, South Dublin",28059
"009 Clondalkin-Rowlagh, South Dublin",28225
"010 Clondalkin Village, South Dublin",33526
"011 Edmondstown, South Dublin",43201
"012 Firhouse-Ballycullen, South Dublin",48750
"013 Firhouse-Knocklyon, South Dublin",41627
"014 Firhouse Village, South Dublin",42417
"015 Lucan-Esker, South Dublin",41181
"016 Lucan Heights, South Dublin",40632
"017 Lucan-St. Helen's, South Dublin",38251
"018 Newcastle, South Dublin",39541
"019 Palmerston Village, South Dublin",35679
"020 Palmerston West, South Dublin",32683
"021 Rathcoole, South Dublin",40150
"022 Rathfarnham-Ballyroan, South Dublin",55544
"023 Rathfarnham-Butterfield, South Dublin",47811
"024 Rathfarnham-Hermitage, South Dublin",48741
"025 Rathfarnham-St. Enda's, South Dublin",45170
"026 Rathfarnham Village, South Dublin",55202
"027 Saggart, South Dublin",36859
"028 Tallaght-Avonbeg, South Dublin",25959
"029 Tallaght-Belgard, South Dublin",31879
"030 Tallaght-Fettercairn, South Dublin",27978
"031 Tallaght-Glenview, South Dublin",32741
"032 Tallaght-Jobstown, South Dublin",32924
"033 Tallaght-Killinardan, South Dublin",24148
"034 Tallaght-Kilnamanagh, South Dublin",34663
"035 Tallaght-Kiltipper, South Dublin",32119
"036 Tallaght-Kingswood, South Dublin",33349
"037 Tallaght-Millbrook, South Dublin",31842
"038 Tallaght-Oldbawn, South Dublin",31707
"039 Tallaght-Springfield, South Dublin",27780
"040 Tallaght-Tymon, South Dublin",29869
"041 Templeogue-Cypress, South Dublin",43997
"042 Templeogue-Kimmage Manor, South Dublin",53973
"043 Templeogue-Limekiln, South Dublin",37618
"044 Templeogue-Orwell, South Dublin",47487
"045 Templeogue-Osprey, South Dublin",41476
"046 Templeogue Village, South Dublin",49426
"047 Terenure-Cherryfield, South Dublin",34846
"048 Terenure-Greentrees, South Dublin",40486
"049 Terenure-St. James, South Dublin",35875
"001 Airport, Fingal",33909
"002 Balbriggan Rural, Fingal",37868
"003 Balbriggan Urban, Fingal",38306
"004 Baldoyle, Fingal",42782
"005 Balgriffin, Fingal",49378
"006 Ballyboghil, Fingal",46697
"007 Balscadden, Fingal",40441
"008 Blanchardstown-Abbotstown, Fingal",41571
"009 Blanchardstown-Blakestown, Fingal",37822
"010 Blanchardstown-Coolmine, Fingal",35214
"011 Blanchardstown-Corduff, Fingal",29237
"012 Blanchardstown-Delwood, Fingal",39832
"013 Blanchardstown-Mulhuddart, Fingal",31302
"014 Blanchardstown-Roselawn, Fingal",43784
"015 Blanchardstown-Tyrrelstown, Fingal",25586
"016 Castleknock-Knockmaroon, Fingal",49725
"017 Castleknock-Park, Fingal",51722
"018 Clonmethan, Fingal",34201
"019 Donabate, Fingal",47388
"020 Dubber, Fingal",33275
"021 Garristown, Fingal",44777
"022 Hollywood, Fingal",47975
"023 Holmpatrick, Fingal",45809
"024 Howth, Fingal",53419
"025 Kilsallaghan, Fingal",44473
"026 Kinsaley, Fingal",42434
"027 Lucan North, Fingal",61680
"028 Lusk, Fingal",42485
"029 Malahide East, Fingal",56036
"030 Malahide West, Fingal",53038
"031 Portmarnock North, Fingal",49482
"032 Portmarnock South, Fingal",49652
"033 Rush, Fingal",41387
"034 Skerries, Fingal",49047
"035 Sutton, Fingal",49088
"036 Swords-Forrest, Fingal",41331
"037 Swords-Glasmore, Fingal",37440
"038 Swords-Lissenhall, Fingal",41399
"039 Swords-Seatown, Fingal",49387
"040 Swords Village, Fingal",33361
"041 The Ward, Fingal",39293
"042 Turnapin, Fingal",36026
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",42721
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",48000
"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",48226
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",52224
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",39871
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",51442
"007 Ballybrack, Dún Laoghaire-Rathdown",46310
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",51248
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",52734
"010 Blackrock-Central, Dún Laoghaire-Rathdown",60991
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",59958
"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",55695
"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",47975
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",64084
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",51683
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",48296
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",53537
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",47569
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",41882
"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",43565
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",49594
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",48615
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",55025
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",39438
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",56274
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",58762
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",47511
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",45767
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",62665
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",49711
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",49946
"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",54764
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",60000
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",61204
"035 Dalkey Hill, Dún Laoghaire-Rathdown",57947
"036 Dalkey Upper, Dún Laoghaire-Rathdown",71780
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",46559
"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",50729
"039 Dundrum-Sandyford, Dún Laoghaire-Rathdown",47302
"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",50051
"041 Dundrum-Taney, Dún Laoghaire-Rathdown",50804
"042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown",44592
"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",53030
"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",61177
"045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",44269
"046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown",42865
"047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",46349
"048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",37664
"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",47013
"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",58695
"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",46816
"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",50757
"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",66999
"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",58404
"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",63960
"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",57236
"057 Glencullen, Dún Laoghaire-Rathdown",51063
"058 Killiney North, Dún Laoghaire-Rathdown",53506
"059 Killiney South, Dún Laoghaire-Rathdown",40494
"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",46516
"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",40082
"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",45000
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",69065
"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",49298
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",56086
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",59445
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",57254
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",56615
"069 Tibradden, Dún Laoghaire-Rathdown",43360
"001 Athy East Urban, Co. Kildare",35854
"002 Athy West Urban, Co. Kildare",33337
"003 Naas Urban, Co. Kildare",47423
"004 Athy Rural (Part Rural), Co. Kildare",38912
"005 Ballaghmoon, Co. Kildare",36446
"006 Ballitore, Co. Kildare",38950
"007 Ballybrackan, Co. Kildare",37918
"008 Ballyshannon, Co. Kildare",50930
"009 Belan, Co. Kildare",36483
"010 Bert, Co. Kildare",35413
"011 Burtown, Co. Kildare",35821
"012 Carrigeen, Co. Kildare",42489
"013 Castledermot, Co. Kildare",38594
"014 Churchtown, Co. Kildare",43696
"015 Dunmanoge, Co. Kildare",41488
"016 Fontstown, Co. Kildare",39939
"017 Graney, Co. Kildare",41429
"018 Grangemellon, Co. Kildare",32303
"019 Harristown, Co. Kildare",28811
"020 Inchaquire, Co. Kildare",41400
"021 Johnstown, Co. Kildare",31436
"022 Kilberry, Co. Kildare",37862
"023 Kildangan, Co. Kildare",53618
"024 Kilkea, Co. Kildare",33770
"025 Kilrush, Co. Kildare",43170
"026 Lackagh, Co. Kildare",40334
"027 Monasterevin, Co. Kildare",37098
"028 Moone, Co. Kildare",42119
"029 Narraghmore, Co. Kildare",48301
"030 Nurney, Co. Kildare",36747
"031 Quinsborough, Co. Kildare",39452
"032 Skerries, Co. Kildare",36318
"033 Balraheen, Co. Kildare",50579
"034 Celbridge, Co. Kildare",41309
"035 Cloncurry, Co. Kildare",44362
"036 Donadea, Co. Kildare",46133
"037 Donaghcumper, Co. Kildare",43689
"038 Kilcock, Co. Kildare",41720
"039 Leixlip, Co. Kildare",41227
"040 Maynooth, Co. Kildare",46524
"041 Straffan, Co. Kildare",53325
"042 Ballynadrumny, Co. Kildare",38500
"043 Cadamstown, Co. Kildare",43304
"044 Carbury, Co. Kildare",39759
"045 Carrick, Co. Kildare",38994
"046 Cloncurry, Co. Kildare",50759
"047 Drehid, Co. Kildare",37747
"048 Dunfierth, Co. Kildare",43407
"049 Killinthomas, Co. Kildare",45683
"050 Kilpatrick, Co. Kildare",34793
"051 Kilrainy, Co. Kildare",40264
"052 Lullymore, Co. Kildare",40789
"053 Rathangan, Co. Kildare",34832
"054 Thomastown, Co. Kildare",41590
"055 Windmill Cross, Co. Kildare",37429
"056 Ballymore Eustace, Co. Kildare",48118
"057 Ballysax East, Co. Kildare",43807
"058 Ballysax West, Co. Kildare",48916
"059 Bodenstown, Co. Kildare",47125
"060 Carnalway, Co. Kildare",44670
"061 Carragh, Co. Kildare",56425
"062 Clane, Co. Kildare",43647
"063 Donore, Co. Kildare",47871
"064 Downings, Co. Kildare",44729
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",53074
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",38363
"067 Dunmurry, Co. Kildare",37713
"068 Feighcullen, Co. Kildare",44295
"069 Gilltown, Co. Kildare",56815
"070 Kilcullen, Co. Kildare",47862
"071 Kildare, Co. Kildare",38752
"072 Kill, Co. Kildare",44589
"073 Killashee, Co. Kildare",38213
"074 Kilmeage North, Co. Kildare",38378
"075 Kilmeage South, Co. Kildare",40599
"076 Kilteel, Co. Kildare",50860
"077 Ladytown, Co. Kildare",59862
"078 Morristownbiller, Co. Kildare",43061
"079 Naas Rural, Co. Kildare",43463
"080 Newtown, Co. Kildare",46344
"081 Oldconnell, Co. Kildare",43013
"082 Oughterard, Co. Kildare",44672
"083 Pollardstown, Co. Kildare",38228
"084 Rathernan, Co. Kildare",42900
"085 Rathmore, Co. Kildare",48555
"086 Robertstown, Co. Kildare",38811
"087 Timahoe North, Co. Kildare",45151
"088 Timahoe South, Co. Kildare",37630
"089 Usk, Co. Kildare",55685
"001 Kilkenny No. 1 Urban, Co. Kilkenny",36174
"002 Kilkenny No. 2 Urban, Co. Kilkenny",40756
"003 Burnchurch, Co. Kilkenny",53858
"004 Callan Rural, Co. Kilkenny",38537
"005 Callan Urban, Co. Kilkenny",38769
"006 Coolaghmore, Co. Kilkenny",42683
"007 Dunamaggan, Co. Kilkenny",38727
"008 Earlstown, Co. Kilkenny",..
"009 Kells, Co. Kilkenny",56350
"010 Killamery, Co. Kilkenny",..
"011 Kilmaganny, Co. Kilkenny",41587
"012 Kilmanagh, Co. Kilkenny",52940
"013 Mallardstown, Co. Kilkenny",..
"014 Scotsborough, Co. Kilkenny",..
"015 Tullaghanbrogue, Co. Kilkenny",59005
"016 Boolyglass, Co. Kilkenny",..
"017 Fiddown, Co. Kilkenny",38736
"018 Muckalee, Co. Kilkenny",36344
"019 Pilltown, Co. Kilkenny",36958
"020 Templeorum, Co. Kilkenny",32846
"021 Tubbrid, Co. Kilkenny",37728
"022 Tullahought, Co. Kilkenny",32789
"023 Whitechurch, Co. Kilkenny",31805
"024 Attanagh, Co. Kilkenny",34317
"025 Ballyragget, Co. Kilkenny",33258
"026 Castlecomer, Co. Kilkenny",37356
"027 Clogh, Co. Kilkenny",33265
"028 Clogharinka, Co. Kilkenny",41971
"029 Kilmacar, Co. Kilkenny",36671
"030 Moneenroe, Co. Kilkenny",39952
"031 Mothell, Co. Kilkenny",33546
"032 Muckalee, Co. Kilkenny",49656
"033 Brownsford, Co. Kilkenny",40788
"034 Dysartmoon, Co. Kilkenny",50903
"035 Jerpoint West, Co. Kilkenny",34359
"036 Listerlin, Co. Kilkenny",38017
"037 Rosbercon Rural, Co. Kilkenny",34221
"038 Shanbogh, Co. Kilkenny",36666
"039 The Rower, Co. Kilkenny",39688
"040 Ballinamara, Co. Kilkenny",47765
"041 Ballybeagh, Co. Kilkenny",48434
"042 Ballycallan, Co. Kilkenny",..
"043 Clara, Co. Kilkenny",53512
"044 Coolcraheen, Co. Kilkenny",43065
"045 Dunbell, Co. Kilkenny",36561
"046 Dunmore, Co. Kilkenny",53095
"047 Freshford, Co. Kilkenny",34946
"048 Gowran, Co. Kilkenny",41142
"049 Grange, Co. Kilkenny",44390
"050 Kilkenny Rural, Co. Kilkenny",46309
"051 Kilkieran, Co. Kilkenny",49209
"052 Odagh, Co. Kilkenny",41869
"053 Outrath, Co. Kilkenny",41217
"054 Paulstown, Co. Kilkenny",46853
"055 Rathcoole, Co. Kilkenny",53889
"056 Rathealy, Co. Kilkenny",..
"057 St. Canice, Co. Kilkenny",46599
"058 Shankill, Co. Kilkenny",35769
"059 Tiscoffin, Co. Kilkenny",41773
"060 Tullaroan, Co. Kilkenny",39855
"061 Aghaviller, Co. Kilkenny",35545
"062 Ballyhale, Co. Kilkenny",44400
"063 Ballyvool, Co. Kilkenny",34428
"064 Bennettsbridge, Co. Kilkenny",39211
"065 Bramblestown, Co. Kilkenny",54571
"066 Castlebanny, Co. Kilkenny",24751
"067 Castlegannon, Co. Kilkenny",..
"068 Coolhill, Co. Kilkenny",34740
"069 Danesfort, Co. Kilkenny",46999
"070 Ennisnag, Co. Kilkenny",38486
"071 Famma, Co. Kilkenny",34980
"072 Freaghana, Co. Kilkenny",45804
"073 Goresbridge, Co. Kilkenny",24479
"074 Graiguenamanagh, Co. Kilkenny",37541
"075 Inistioge, Co. Kilkenny",39054
"076 Jerpoint Church, Co. Kilkenny",40279
"077 Kilfane, Co. Kilkenny",48391
"078 Kilkeasy, Co. Kilkenny",37754
"079 Kiltorcan, Co. Kilkenny",42422
"080 Knocktopher, Co. Kilkenny",46884
"081 Pleberstown, Co. Kilkenny",..
"082 Powerstown, Co. Kilkenny",40721
"083 Stonyford, Co. Kilkenny",39254
"084 Thomastown, Co. Kilkenny",39005
"085 Tullaherin, Co. Kilkenny",..
"086 Ullard, Co. Kilkenny",32111
"087 Woolengrange, Co. Kilkenny",..
"088 Balleen, Co. Kilkenny",36255
"089 Ballyconra, Co. Kilkenny",34352
"090 Baunmore, Co. Kilkenny",..
"091 Clomantagh, Co. Kilkenny",34358
"092 Galmoy, Co. Kilkenny",35800
"093 Glashare, Co. Kilkenny",38723
"094 Johnstown, Co. Kilkenny",38896
"095 Lisdowney, Co. Kilkenny",46818
"096 Rathbeagh, Co. Kilkenny",52284
"097 Tubbridbrittain, Co. Kilkenny",31022
"098 Urlingford, Co. Kilkenny",33319
"099 Aglish, Co. Kilkenny",38090
"100 Ballincrea, Co. Kilkenny",30668
"101 Dunkitt, Co. Kilkenny",46769
"102 Farnoge, Co. Kilkenny",57555
"103 Kilbeacon, Co. Kilkenny",50782
"104 Kilbride, Co. Kilkenny",36317
"105 Kilcolumb, Co. Kilkenny",37698
"106 Kilculliheen (part), Co. Kilkenny",37851
"107 Killahy, Co. Kilkenny",44114
"108 Kilmakevoge, Co. Kilkenny",35625
"109 Pollrone, Co. Kilkenny",29765
"110 Portnascully, Co. Kilkenny",39887
"111 Rathpatrick, Co. Kilkenny",28391
"112 Rossinan, Co. Kilkenny",41511
"113 Ullid, Co. Kilkenny",43265
"001 Abbeyleix, Co. Laois",37855
"002 Aghmacart, Co. Laois",46721
"003 Ballinakill, Co. Laois",37669
"004 Ballyroan, Co. Laois",39748
"005 Blandsfort, Co. Laois",36148
"006 Caher, Co. Laois",..
"007 Castletown, Co. Laois",37117
"008 Clash, Co. Laois",38683
"009 Clonkeen, Co. Laois",43494
"010 Colt, Co. Laois",32567
"011 Cuffsborough, Co. Laois",38553
"012 Cullahill, Co. Laois",35238
"013 Cullenagh, Co. Laois",47928
"014 Donaghmore, Co. Laois",35720
"015 Donore, Co. Laois",45512
"016 Dunmore, Co. Laois",54609
"017 Durrow, Co. Laois",36684
"018 Dysartgallen, Co. Laois",42367
"019 Fossy, Co. Laois",57329
"020 Grantstown, Co. Laois",39907
"021 Kilcoke, Co. Laois",42193
"022 Kildellig, Co. Laois",33670
"023 Killermogh, Co. Laois",31111
"024 Kilnaseer, Co. Laois",33296
"025 Raheen, Co. Laois",44475
"026 Rathdowney, Co. Laois",30902
"027 Timahoe, Co. Laois",42353
"028 Ballyadams, Co. Laois",42937
"029 Ballylynan, Co. Laois",35899
"030 Barrowhouse, Co. Laois",44244
"031 Curraclone, Co. Laois",42261
"032 Killabban, Co. Laois",40747
"033 Luggacurren, Co. Laois",29251
"034 Moyanna, Co. Laois",47005
"035 Rathaspick, Co. Laois",43004
"036 Stradbally, Co. Laois",35800
"037 Tankardstown, Co. Laois",46223
"038 Timogue, Co. Laois",33657
"039 Vicarstown, Co. Laois",43108
"040 Arderin, Co. Laois",34462
"041 Ballybrittas, Co. Laois",55717
"042 Ballycarroll, Co. Laois",42385
"043 Ballyfin, Co. Laois",42325
"044 Borris, Co. Laois",33806
999 Brisha / Capard,33364
"047 Cappalough, Co. Laois",34942
"048 Cardtown, Co. Laois",34643
"049 Castlecuffe, Co. Laois",34193
"050 Clonaslee, Co. Laois",28565
"051 Clondarrig, Co. Laois",39169
"052 Clonin, Co. Laois",34201
